大会名,公式サイトURL,開催日,開催地,都道府県
【登山道崩落のため中止】令和8年度べっぷ鶴見岳一気登山大会,http://beppu-event.jp/ikkitozan/,2026.4.11(土),大分県別府市,大分県
さくらファンラン・ハーフマラソンinクラサスドーム大分2026,https://sakura-funrun.runlab.online/,2026.4.12(日),大分県大分市,大分県
第36回佐伯番匠健康マラソン,https://saikishi-marathon-kyoukai.com/saikibanjo/index.html,2026.4.26(日),大分県佐伯市,大分県
第36回八面山平和マラソン大会,https://www.city-nakatsu.jp/doc/2026020500014/,2026.4.26(日),大分県中津市,大分県
山香10マイルロードレース2026（旧山香エビネマラソン）,https://www.city.kitsuki.lg.jp/soshiki/7/bunka/sports/taikai_gyoji/12159.html,2026.5.4(月),大分県杵築市,大分県
5時間耐久リレーマラソンinクラサスドーム大分2026,https://5hours-taikyuu.runlab.online/,2026.5.5(火),大分県大分市,大分県
第43回 仏の里・昭和の町 豊後高田ふれあいマラソン大会,https://www.city.bungotakada.oita.jp/soshiki/29/29988.html,2026.5.17(日),大分県豊後高田市,大分県
第5回長居公園リレーマラソン,https://relaymarathon-jlsa.jimdofree.com/%E9%95%B7%E5%B1%85%E5%85%AC%E5%9C%92/,2026.3.7(土),大阪府大阪市,大阪府
THE CHALLENGE RACE OSAKA 4,https://osaka-race.rdc-run.com/,2026.3.7(土),大阪府大阪市,大阪府
第21回大阪淀川マラソン,https://sportsone.jp/running/osaka-half/,2026.3.8(日),大阪府大阪市,大阪府
2026 柏原シティキャンパスマラソン,https://www.city.kashiwara.lg.jp/docs/2025090100025/,2026.3.8(日),大阪府柏原市,大阪府
第18回 大阪鶴見緑地 あおぞらマラソン,https://aozorarun.com/lp/260308_ot/,2026.3.8(日),大阪府大阪市,大阪府
第27回高槻クロスカントリー大会,https://www.city.takatsuki.osaka.jp/soshiki/61/106731.html,2026.3.8(日),大阪府高槻市,大阪府
第12回 コ・ス・パ3時間耐久リレーマラソン,https://www.cospa-wellness.co.jp/corp/information/detail.html?id=22043,2026.3.14(土),大阪府大阪市,大阪府
第22回大阪淀川マラソン,https://runnet.jp/entry/runtes/user/pc/moshicomDetailAction.do?raceId=127589&div=1,2026.3.15(日),大阪府大阪市,大阪府
第2回大阪淀川リレーマラソン,https://sportsone.jp/running/srt/stocks/2026/srt20260315_137385.html,2026.3.15(日),大阪府大阪市,大阪府
第3回 宝塚リレーマラソン,https://relaymarathon-jlsa.jimdofree.com/%E6%AD%A6%E5%BA%AB%E5%B7%9D%E6%B2%B3%E5%B7%9D%E5%85%AC%E5%9C%92/,2026.3.15(日),大阪府宝塚市,大阪府
淀川エコマラソン2026早春スペシャル,https://www.ecomarathon.run/%E6%B7%80%E5%B7%9D/,2026.3.20(金),大阪府大阪市,大阪府
第1回八尾シティリレーマラソン,https://relaymarathon-jlsa.jimdofree.com/%E4%B9%85%E5%AE%9D%E5%AF%BA%E7%B7%91%E5%9C%B0/,2026.3.20(金),大阪府大阪市,大阪府
第40回 長居公園ハーフマラソン,https://sportsone.jp/running/nagai/,2026.3.21(土),大阪府大阪市,大阪府
淀川マラソン＆ウォーク 2026,https://www.sanspo-marathon.com/entry/2953/,2026.3.22(日),大阪府大阪市,大阪府
第16回枚方エコマラソン,https://www.ecomarathon.run/%E9%96%A2%E8%A5%BF/%E6%9E%9A%E6%96%B9/,2026.3.22(日),大阪府枚方市,大阪府
第27回 長居公園ふれあいマラソン,https://www.jls-association.com/%E3%82%B9%E3%83%9D%E3%83%BC%E3%83%84%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88/%E3%83%9E%E3%83%A9%E3%82%BD%E3%83%B3/%E9%95%B7%E5%B1%85%E5%85%AC%E5%9C%92%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E3%83%9E%E3%83%A9%E3%82%BD%E3%83%B3/,2026.3.28(土),大阪府大阪市,大阪府
第1回 神君伊賀越えの道160kmジャーニーラン,https://sportsaid-japan.org/,2026.3.28(土),大阪府堺市,大阪府
なにわ淀川マラソン2026,https://sportsone.jp/naniwa/,2026.3.28(土),大阪府大阪市,大阪府
なにわ淀川マラソン2026,https://sportsone.jp/naniwa/,2026.3.29(日),大阪府大阪市,大阪府
第4回ひがよどワールドマラソン,https://higayodoworldmarathon.com/,2026.4.5(日),大阪府大阪市,大阪府
IKOMA Nature Trail 2026(45ｋｍ),https://soratrail.wixsite.com/ikoma2026,2026.4.5(日),大阪府枚方市,大阪府
第41回 大阪淀川チャレンジマラソン,http://www.sportsone.jp/running/osaka-challenge/,2026.4.11(土),大阪府守口市,大阪府
第5回淀川リレーマラソン,https://www.sportsentry.ne.jp/event/t/103907,2026.4.18(土),大阪府大阪市,大阪府
第17回 水都大阪100kmウルトラマラニック,https://info871433.wixsite.com/osakaultra,2026.4.19(日),大阪府大阪市,大阪府
第9回 リバーサイドマラソン大和川大会,https://riverside-marathon.jimdofree.com/%E5%A4%A7%E5%92%8C%E5%B7%9D%E5%A4%A7%E4%BC%9A/,2026.4.26(日),大阪府大阪市,大阪府
第42回 大阪淀川チャレンジマラソン,http://www.sportsone.jp/running/osaka-challenge/,2026.4.26(日),大阪府守口市,大阪府
第10回 ランタメトライアル,https://moshicom.com/140409,2026.4.26(日),大阪府大阪市,大阪府
2026堺シティマラソン,https://sakaicitymarathon.com/,2026.4.29(水),大阪府堺市,大阪府
淀川エコマラソンン2026ＧＷスペシャル,https://www.ecomarathon.run/%E6%B7%80%E5%B7%9D/,2026.5.3(日),大阪府枚方市,大阪府
第18回富田林エコマラソン,https://www.ecomarathon.run/%E5%AF%8C%E7%94%B0%E6%9E%97/,2026.5.4(月),大阪府富田林市,大阪府
第17回枚方エコマラソン,https://www.ecomarathon.run/%E9%96%A2%E8%A5%BF/%E6%9E%9A%E6%96%B9/,2026.5.5(火),大阪府枚方市,大阪府
第43回 大阪淀川チャレンジマラソン,http://www.sportsone.jp/running/osaka-challenge/,2026.5.16(土),大阪府守口市,大阪府
企業対抗駅伝2026大阪大会,https://sportsone.jp/ed/,2026.5.17(日),大阪府大阪市,大阪府
第9回能勢妙見山パワートレイルラン2026,https://www.actrep-sports.com/nose-trailrun/,2026.5.23(土),大阪府能勢町,大阪府
第15回リバーサイドマラソン淀川大会,https://riverside-marathon.jimdofree.com/%E6%B7%80%E5%B7%9D%E5%A4%A7%E4%BC%9A-%E4%B8%8A%E6%B5%81%E3%82%B3%E3%83%BC%E3%82%B9/,2026.5.24(日),大阪府大阪市,大阪府
第15回大阪せんなん夕空絶景マラソン,https://jiowsa-marathon.com/%E5%A4%95%E7%A9%BA%E7%B5%B6%E6%99%AF%E3%83%9E%E3%83%A9%E3%82%BD%E3%83%B3%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%EF%BC%92%EF%BC%90%EF%BC%92%EF%BC%96/,2026.5.30(土),大阪府泉南市,大阪府
第44回 大阪淀川チャレンジマラソン,http://www.sportsone.jp/running/osaka-challenge/,2026.5.31(日),大阪府守口市,大阪府
第19回 大阪鶴見緑地 あおぞらマラソン,https://aozorarun.com/lp/260607_ot/,2026.6.7(日),大阪府大阪市,大阪府
第16回リバーサイドマラソン淀川大会,https://runnet.jp/entry/runtes/user/pc/moshicomDetailAction.do?raceId=127340&div=1,2026.6.14(日),大阪府大阪市,大阪府
